dateOfSleep,duration_min,minutesAsleep,efficiency,deep_sleep_min,light_sleep_min,rem_sleep_min,wake_min,deep_ratio,rem_ratio,wake_ratio,avg_hr,hrv_sdnn
2019-11-02,430.0,378,97,36,259,83,52,9.52,21.96,12.09,62.6,15.28
2019-11-03,422.0,378,96,38,289,51,44,10.05,13.49,10.43,64.55,14.53
2019-11-04,399.0,361,96,37,289,35,38,10.25,9.7,9.52,63.55,13.49
2019-11-05,362.0,326,99,27,260,39,36,8.28,11.96,9.94,66.67,23.64
2019-11-06,364.0,341,99,66,237,38,23,19.35,11.14,6.32,63.89,10.68
2019-11-07,366.0,312,97,44,240,28,54,14.1,8.97,14.75,63.99,12.15
2019-11-07,366.0,312,97,44,240,28,54,14.1,8.97,14.75,63.99,12.15
2019-11-08,392.0,360,100,34,244,82,32,9.44,22.78,8.16,66.13,14.56
2019-11-09,391.0,344,99,36,244,64,47,10.47,18.6,12.02,64.78,14.57
2019-11-10,422.0,382,99,52,249,81,40,13.61,21.2,9.48,64.82,17.05
2019-11-11,356.0,318,97,38,256,24,38,11.95,7.55,10.67,68.15,22.09
2019-11-12,423.0,378,98,51,289,38,45,13.49,10.05,10.64,63.91,13.3
2019-11-13,361.0,320,97,28,210,82,41,8.75,25.62,11.36,62.41,12.58
2019-11-14,367.0,325,99,42,238,45,42,12.92,13.85,11.44,70.25,19.74
2019-11-15,385.0,342,95,58,198,86,43,16.96,25.15,11.17,66.75,17.19
2019-11-16,359.0,317,93,20,251,46,42,6.31,14.51,11.7,65.7,16.55
2019-11-17,377.0,337,96,49,221,67,40,14.54,19.88,10.61,61.45,13.92
2019-11-18,372.0,330,98,8,262,60,42,2.42,18.18,11.29,67.62,26.75
2019-11-19,361.0,318,96,43,212,63,43,13.52,19.81,11.91,63.34,10.8
2019-11-20,422.0,383,97,39,278,66,39,10.18,17.23,9.24,64.0,13.2
2019-11-21,371.0,327,98,33,236,58,44,10.09,17.74,11.86,69.75,21.18
2019-11-22,372.0,333,97,41,243,49,39,12.31,14.71,10.48,62.98,13.65
2019-11-23,410.0,356,98,74,257,25,54,20.79,7.02,13.17,72.73,25.18
2019-11-24,488.0,421,95,56,282,83,67,13.3,19.71,13.73,64.27,18.6
2019-11-25,367.0,332,98,22,277,33,35,6.63,9.94,9.54,61.75,14.54
2019-11-26,371.0,318,98,41,246,31,53,12.89,9.75,14.29,70.66,29.97
2019-11-27,410.0,365,97,27,280,58,45,7.4,15.89,10.98,60.13,12.71
2019-11-28,391.0,341,94,25,289,27,50,7.33,7.92,12.79,67.07,20.03
2019-11-29,361.0,309,93,43,183,83,52,13.92,26.86,14.4,63.92,14.32
2019-11-30,435.0,402,97,41,318,43,33,10.2,10.7,7.59,59.54,12.72
2019-12-01,428.0,387,96,35,298,54,41,9.04,13.95,9.58,61.21,14.54
2019-12-02,213.0,190,95,10,150,30,23,5.26,15.79,10.8,61.39,13.7
2019-12-03,380.0,345,98,21,262,62,35,6.09,17.97,9.21,71.46,26.25
2019-12-04,377.0,335,94,42,251,42,42,12.54,12.54,11.14,63.76,14.12
2019-12-05,353.0,314,95,36,219,59,39,11.46,18.79,11.05,68.54,19.26
2019-12-06,359.0,290,89,24,179,87,69,8.28,30.0,19.22,62.49,13.25
2019-12-07,472.0,424,94,74,288,62,48,17.45,14.62,10.17,63.42,14.64
2019-12-07,472.0,424,94,74,288,62,48,17.45,14.62,10.17,63.42,14.64
2019-12-08,440.0,402,97,21,276,105,38,5.22,26.12,8.64,62.21,15.27
2019-12-09,382.0,332,94,38,259,35,50,11.45,10.54,13.09,63.04,13.15
2019-12-10,360.0,336,99,20,225,91,24,5.95,27.08,6.67,60.51,12.57
2019-12-11,473.0,416,94,54,252,110,57,12.98,26.44,12.05,64.18,13.1
2019-12-12,249.0,220,96,18,185,17,29,8.18,7.73,11.65,66.54,10.74
2019-12-13,369.0,337,96,58,262,17,32,17.21,5.04,8.67,66.56,13.97
2019-12-14,427.0,386,97,34,322,30,41,8.81,7.77,9.6,65.38,14.09
2019-12-15,401.0,369,97,28,256,85,32,7.59,23.04,7.98,67.68,15.47
2019-12-16,397.0,367,99,30,268,69,30,8.17,18.8,7.56,63.7,13.36
