iter	Passed	Remaining
0	2	465
1	3	382
2	5	354
3	7	350
4	9	367
5	11	357
6	12	345
7	14	347
8	16	354
9	18	347
10	19	340
11	21	337
12	23	337
13	25	332
14	26	328
15	28	333
16	31	338
17	33	339
18	35	342
19	37	337
20	39	332
21	40	327
22	42	328
23	44	324
24	45	321
25	48	322
26	50	320
27	51	317
28	53	315
29	56	317
30	57	314
31	59	311
32	60	308
33	63	310
34	65	306
35	66	303
36	68	301
37	70	299
38	71	296
39	73	294
40	76	295
41	77	292
42	79	290
43	84	297
44	85	295
45	87	292
46	90	293
47	91	290
48	93	288
49	95	285
50	96	282
51	98	279
52	99	277
53	102	277
54	104	275
55	106	274
56	110	275
57	111	273
58	113	270
59	114	268
60	116	266
61	118	263
62	121	263
63	124	263
64	125	261
65	127	259
66	129	257
67	131	255
68	134	254
69	138	256
70	140	254
71	143	254
72	144	252
73	149	254
74	151	252
75	153	250
76	156	250
77	158	247
78	161	246
79	164	247
80	166	244
81	168	242
82	170	239
83	171	237
84	173	235
85	177	235
86	179	232
87	181	230
88	183	228
89	184	226
90	187	224
91	190	223
92	192	221
93	194	218
94	195	216
95	197	213
96	199	211
97	201	209
98	205	209
99	207	207
100	209	205
101	210	202
102	212	199
103	214	198
104	217	197
105	219	194
106	221	192
107	223	190
108	224	187
109	226	185
110	228	183
111	230	181
112	232	179
113	234	176
114	236	174
115	238	172
116	240	170
117	243	169
118	246	167
119	248	165
120	249	163
121	251	160
122	253	158
123	254	156
124	256	153
125	264	155
126	266	153
127	267	150
128	269	148
129	271	146
130	272	143
131	274	141
132	276	139
133	278	136
134	279	134
135	281	132
136	284	130
137	285	128
138	287	126
139	288	123
140	289	121
141	291	119
142	293	116
143	295	114
144	298	113
145	299	110
146	301	108
147	303	106
148	305	104
149	307	102
150	309	100
151	310	98
152	312	96
153	314	93
154	315	91
155	318	89
156	320	87
157	322	85
158	324	83
159	325	81
160	327	79
161	328	77
162	331	75
163	332	73
164	334	70
165	336	68
166	339	67
167	341	64
168	342	62
169	344	60
170	346	58
171	347	56
172	349	54
173	351	52
174	353	50
175	355	48
176	358	46
177	359	44
178	361	42
179	363	40
180	365	38
181	366	36
182	369	34
183	371	32
184	373	30
185	375	28
186	377	26
187	379	24
188	380	22
189	382	20
190	385	18
191	387	16
192	390	14
193	400	12
194	401	10
195	404	8
196	407	6
197	409	4
198	411	2
199	412	0
